ATTITUDE {time_boot_ms : 826609, roll : -0.08875733613967896, pitch : -0.023327521979808807, yaw : -2.2102503776550293, rollspeed : 0.0005495492368936539, pitchspeed : 0.0006967633962631226, yawspeed : -0.00020922406110912561}
ATTITUDE {time_boot_ms : 826659, roll : -0.08873527497053146, pitch : -0.023342575877904892, yaw : -2.210261583328247, rollspeed : -0.00013631652109324932, pitchspeed : -0.0002955430536530912, yawspeed : 0.00043581455247476697}
ATTITUDE {time_boot_ms : 826709, roll : -0.08874055743217468, pitch : -0.023324739187955856, yaw : -2.2102885246276855, rollspeed : 6.096367724239826e-05, pitchspeed : 0.000575695070438087, yawspeed : -0.0007990660960786045}
ATTITUDE {time_boot_ms : 826759, roll : -0.08872806280851364, pitch : -0.02334883064031601, yaw : -2.2103023529052734, rollspeed : -0.0002233374398201704, pitchspeed : 0.0002786915865726769, yawspeed : 0.0002963475417345762}
ATTITUDE {time_boot_ms : 826809, roll : -0.0887531265616417, pitch : -0.02330853044986725, yaw : -2.2102770805358887, rollspeed : 0.0006197432521730661, pitchspeed : 0.0007434340659528971, yawspeed : 0.0008480855030938983}
ATTITUDE {time_boot_ms : 826859, roll : -0.0887078195810318, pitch : -0.023309215903282166, yaw : -2.210296392440796, rollspeed : 0.001377158798277378, pitchspeed : -0.0008427557768300176, yawspeed : 9.469053475186229e-05}
ATTITUDE {time_boot_ms : 826910, roll : -0.08865879476070404, pitch : -0.023383047431707382, yaw : -2.2102832794189453, rollspeed : 0.0014640222070738673, pitchspeed : -0.0012391108321025968, yawspeed : 0.00034933106508105993}
ATTITUDE {time_boot_ms : 826960, roll : -0.08866969496011734, pitch : -0.023391705006361008, yaw : -2.210252285003662, rollspeed : -0.0013444202486425638, pitchspeed : 0.00038965174462646246, yawspeed : 0.0013667263556271791}
ATTITUDE {time_boot_ms : 827010, roll : -0.08863653987646103, pitch : -0.023357760161161423, yaw : -2.210258722305298, rollspeed : 0.00029679411090910435, pitchspeed : 0.0009153633145615458, yawspeed : -0.00035089574521407485}
ATTITUDE {time_boot_ms : 827060, roll : -0.0886470228433609, pitch : -0.023332148790359497, yaw : -2.2102205753326416, rollspeed : -0.0009259080979973078, pitchspeed : 0.000628709327429533, yawspeed : 0.0007480315398424864}
ATTITUDE {time_boot_ms : 827109, roll : -0.08864865452051163, pitch : -0.023342307657003403, yaw : -2.2102203369140625, rollspeed : -0.0005389072466641665, pitchspeed : 5.5593118304386735e-05, yawspeed : 0.00032100832322612405}
ATTITUDE {time_boot_ms : 827160, roll : -0.08866176754236221, pitch : -0.023343265056610107, yaw : -2.210211753845215, rollspeed : -0.00034744967706501484, pitchspeed : -0.00048603827599436045, yawspeed : 0.0004253422375768423}
ATTITUDE {time_boot_ms : 827209, roll : -0.08864612877368927, pitch : -0.023359287530183792, yaw : -2.210212230682373, rollspeed : -0.0008766481187194586, pitchspeed : -0.0006224798271432519, yawspeed : 0.0002933880896307528}
ATTITUDE {time_boot_ms : 827259, roll : -0.08861953765153885, pitch : -0.02336033433675766, yaw : -2.2102131843566895, rollspeed : 0.0008177489507943392, pitchspeed : -0.0002436754002701491, yawspeed : 0.00010297080734744668}
ATTITUDE {time_boot_ms : 827309, roll : -0.0886094868183136, pitch : -0.02332892268896103, yaw : -2.210212469100952, rollspeed : -0.0002375822514295578, pitchspeed : 0.0009808712638914585, yawspeed : 0.00020193704403936863}
ATTITUDE {time_boot_ms : 827359, roll : -0.08863110095262527, pitch : -0.02331709861755371, yaw : -2.2102065086364746, rollspeed : 0.0007062572985887527, pitchspeed : 0.0004388231900520623, yawspeed : 0.000196153880096972}
ATTITUDE {time_boot_ms : 827410, roll : -0.0886436328291893, pitch : -0.023335900157690048, yaw : -2.2102177143096924, rollspeed : -0.00035255146212875843, pitchspeed : 0.0001402854104526341, yawspeed : -0.0008327806135639548}
ATTITUDE {time_boot_ms : 827461, roll : -0.08861872553825378, pitch : -0.023339994251728058, yaw : -2.2102270126342773, rollspeed : 0.0005006869323551655, pitchspeed : 0.000556753424461931, yawspeed : 0.00028314581140875816}
ATTITUDE {time_boot_ms : 827509, roll : -0.08862222731113434, pitch : -0.023321349173784256, yaw : -2.2102460861206055, rollspeed : -0.00018353969790041447, pitchspeed : 0.0008616773411631584, yawspeed : -0.0007008467800915241}
ATTITUDE {time_boot_ms : 827559, roll : -0.08863277733325958, pitch : -0.023303493857383728, yaw : -2.210240125656128, rollspeed : 0.0007768254727125168, pitchspeed : -6.424702587537467e-05, yawspeed : 0.0001414463040418923}
